date,mileage,shoe,location,notes,kate,watch
12/22/18,2.7,new balance from dsw,nj,upon arrival w/kate,1,0
12/23/18,6.0,new balance from dsw,nj,to park w/alex and w/kate,1,0
12/24/18,3.0,new balance from dsw,nj,w/kate,1,0
12/25/18,4.5,new balance from dsw,nj,w/kate,1,0
12/26/18,4.0,new balance from dsw,nj,w/kate,1,0
12/27/18,5.0,new balance from dsw,vt,speed workout w/kate,1,0
12/29/18,10.0,new balance from dsw,vt,long run w/kate,1,0
12/31/18,4.2,new balance from dsw,ma,fresh pond w/kate,1,0
1/1/19,5.1,new balance from dsw,ma,hill workout in somerville w/kate,1,0
1/2/19,4.2,new balance from dsw,ma,fresh pond solo,0,0
1/3/19,4.5,new balance from dsw,ma,speed workout w/kate,1,0
1/5/19,10.0,new balance from dsw,ma,heartbreak firehouse w/kate,1,0
1/7/19,3.3,new balance from dsw,ma,river loop solo,0,0
1/8/19,3.0,new balance from dsw,ma,speed workout solo,0,0
1/9/19,4.1,new balance from dsw,ma,fresh pond solo,0,0
1/10/19,3,new balance from dsw,ma,speed workout solo,0,0
1/12/19,13,new balance from dsw,ma,long run w/kate,1,0
1/14/19,3.3,new balance from dsw,ma,river loop solo,0,0
1/15/19,3.7,new balance from dsw,ma,speed workout solo,0,0
1/16/19,3.26,new balance from dsw,ma,river loop solo,0,1
1/17/19,6.2,new balance from dsw,ma,speed workout solo,0,1
1/19/19,14,new balance from dsw,ma,long run w/kate,1,1
1/21/19,4,new balance from dsw,ma,recovery run on treadmill,0,0
1/22/19,4,new balance from dsw,ma,speed workout on treadmill,0,0
1/23/19,4,new balance from dsw,ma,recovery run on treadmill,0,0
1/24/19,7.1,new balance from dsw,ma,speed workout solo,0,1
1/26/19,10,new balance from dsw,ma,long run w/kate,1,1
1/28/19,5.3,new balance from dsw,ma,recovery run solo,0,1
1/29/19,3.86,new balance from dsw,ma,speed workout on treadmill,0,0
1/30/19,5.31,new balance from dsw,ma,recovery run solo,0,1
1/31/19,4.2,new balance from dsw,ma,speed workout on treadmill,0,0
2/2/19,15.01,new balance from dsw,nj,long run solo,0,1
2/4/19,5.29,new balance from dsw,ma,recovery run solo,0,1
2/5/19,4.69,new balance from dsw,ma,speed workout solo,0,1
2/6/19,5.27,new balance from dsw,ma,recovery run solo,0,1
2/7/19,5.47,new balance from dsw,or,speed workout on treadmill,0,0
2/8/19,10.01,new balance from dsw,or,long run solo,0,1
2/11/19,5.27,new balance from dsw,ma,recovery run solo,0,1
2/12/19,5,new balance from dsw,ma,speed workout solo,0,1
2/13/19,4,new balance from dsw,ma,recovery run on treadmill,0,0
2/14/19,4.27,new balance from dsw,ma,speed workout solo,0,1
2/16/19,16,new balance from dsw,ma,long run w/kate,1,1
2/18/19,4.2,new balance from dsw,ma,recovery run on treadmill,1,0
2/19/19,5.03,new balance from dsw,ma,speed workout w/kate,1,0
2/20/19,5.32,new balance from dsw,ma,recovery run solo,0,1
2/21/19,4,new balance from dsw,ma,speed workout solo,0,1
2/23/19,14.01,new balance from dsw,ma,long run w/kate,1,1
2/25/19,5,new balance from dsw,ma,recovery run on treadmill,0,0
2/26/19,7.1,new balance from dsw,ma,speed workout on treadmill,0,0
2/27/19,6,new balance from dsw,ma,recovery run on treadmill,0,0
2/28/19,4.1,new balance from dsw,ma,speed workout on treadmill,0,0
3/1/19,18.01,new balance from dsw,ma,long run solo,0,1
3/4/19,5,new balance from dsw,ma,recovery run on treadmill,1,0
